velocidade;rpm;J;eta;T;Q;Cp;Ct;Cq;Alpha 0;Alpha 1;Alpha 2;Alpha 3;Alpha 4;Alpha 5;Alpha 6;Alpha 7;Beta 0;Beta 1;Beta 2;Beta 3;Beta 4;Beta 5;Beta 6;Beta 7
1.0;1000.0;0.03;0.0354412195073054;273.8702197036016;73.7917032835287;0.0425798215588306;0.0503026934149472;0.0067767890770587;40.12683427918587;35.59242378967975;30.865864234682498;27.578186330386167;25.22842792162352;23.50611448984709;22.16209570989902;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
1.4974874371859297;1000.0;0.0449246231155778;0.052313136663613;333.8527719364868;91.25964926444148;0.0526593019037786;0.0613198968862934;0.0083809881977548;39.22097602386414;34.91255475641675;30.321792806296447;27.12471366933435;24.83969581191116;23.16595045911107;21.859713399252456;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
1.99497487437186;1000.0;0.0598492462311557;0.0813651918792894;375.85681971093527;88.00201048509702;0.0507795556483676;0.0690349260693554;0.0080818172894476;38.31648094162863;34.2332620167702;29.77801672650002;26.67141201770043;24.451071427494146;22.825858610797976;21.55738179180088;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
2.492462311557789;1000.0;0.0747738693467336;0.0879739522986037;334.7472640602198;90.56552620832956;0.0522587740049232;0.0614841913579995;0.0083172422028057;37.41379553838816;33.55473550800426;29.234633616684427;26.21833798707323;24.06259046358888;22.48586287739833;21.25511770548505;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
2.9899497487437188;1000.0;0.0896984924623115;0.1240112432059124;390.40786320886383;89.88614733340943;0.0518667538999828;0.0717075667118321;0.0082548502653131;36.51336094516082;32.877163879930286;28.69174067453848;25.76554801836401;23.674288536333147;22.145987150805134;20.95293793570277;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
3.487437185929648;1000.0;0.1046231155778894;0.161574908113632;306.9149197217627;63.25893255863088;0.0365021261265539;0.0563721281121604;0.0058094938064048;35.61561165294446;32.20073418403084;28.149434570537483;25.313098339846;23.28620116327124;21.806255272270672;20.650859249722696;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
3.9849246231155777;1000.0;0.1195477386934673;0.2041091586567339;468.6233350083851;87.3681039469678;0.0504137743196075;0.0860736737770502;0.0080236013828847;34.720974296084194;31.52563156923589;27.607811345844823;24.861044925590846;22.89836374397436;21.466691022416576;20.34889838112158;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
4.482412060301508;1000.0;0.1344723618090452;0.2275110758539018;464.8761707255902;87.46169726644956;0.0504677802127541;0.0853854191128634;0.0080321966877351;33.82986649233464;30.852038985563727;27.06696631189266;24.40944345437832;22.51081154082296;21.12731811130772;20.04707202424953;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
4.9798994974874375;1000.0;0.1493969849246231;0.2536736954811349;423.58157361014497;79.40604834840916;0.0458194514954616;0.0778006971937;0.007292392195262;32.94269574706163;30.180136896779285;26.526993951899545;23.9583492691536;22.12357965997664;20.788160168600093;19.745396828727912;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
5.477386934673366;1000.0;0.164321608040201;0.3105517093583829;504.5668493119139;84.98251760597012;0.0490372260602107;0.0926755437511678;0.0078045169229972;32.059858428192975;29.51010300315405;25.98798782457357;23.507817337104925;21.736703032557138;20.44924073377303;19.443889393984264;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
5.974874371859296;1000.0;0.1792462311557788;0.3460413630599674;518.7328532118951;85.52949356185304;0.0493528460765827;0.0952774628348378;0.0078547494087416;31.1817388176268;28.842111975336305;25.45004047023876;23.057902210432115;21.35021639606905;20.11058324645545;19.14256626382882;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
6.472361809045226;1000.0;0.1941708542713567;0.3863787760865995;540.2558989166171;86.4212261290125;0.0498674000426561;0.0992306753112153;0.0079366432159297;30.30870824385816;28.176335200258336;24.913243319610768;22.608657987874064;20.96415427608283;19.77221103685623;18.84144392107688;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
6.969849246231155;1000.0;0.2090954773869346;0.4347255631211773;464.2646685509441;71.07964044025485;0.0410148874702485;0.085273102386908;0.0065277220812478;29.44112429960641;27.512940539920084;24.3776866054352;22.16013827706088;20.57855096820335;19.43414731630808;18.540538782221496;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
7.467336683417085;1000.0;0.2240201005025125;0.4790216436313352;545.8617529325509;81.25772217674626;0.0468879177008399;0.1002603219672031;0.0074624438733746;28.57933014723745;26.852092103796764;23.84345927718845;21.71239615775345;20.19344052034711;19.09641516793444;18.239867192160528;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
7.964824120603015;1000.0;0.2389447236180904;0.5111326821723223;577.9043020592234;85.99433624702394;0.0496210729599148;0.1061456881333267;0.007897439043094;27.72365391379157;26.193950035522867;23.310648919026512;21.26548414603037;19.808856715350142;18.75903753744849;17.93944541898238;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
8.462311557788944;1000.0;0.2538693467336683;0.5525678070925941;586.6688722734367;85.79616179537575;0.0495067209065914;0.1077555071522638;0.0078792393485549;26.87440817646768;25.538670314407355;22.779341671152025;20.819454159478937;19.424833053927824;18.422037224093128;17.6392896488144;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
8.959798994974875;1000.0;0.2687939698492462;0.6079458561091577;586.6403954898749;82.56133579989184;0.0476401382484796;0.10775027672263;0.0075821634918267;26.03188953849085;24.88640457223593;22.24962215475482;20.37435748344365;19.041402738007147;18.085436871730607;17.339415980737922;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
9.457286432160805;1000.0;0.2837185929648241;0.6435937197448919;625.4779678324871;87.76839238130783;0.0506447516429087;0.1148837083773955;0.0080603625656303;25.19637829441768;24.237299925717043;21.721573400664628;19.930244738382413;18.65859865445095;17.749258960090177;17.039840421773807;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
9.954773869346733;1000.0;0.298643216080402;0.6802306771153462;637.4630063624462;89.08437837309963;0.0514041113840589;0.117085041984939;0.0081812184220193;24.36813818312249;23.591498824829635;21.195276781838675;19.487165848376783;18.27645335919262;17.4135257961817;16.740578881942294;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
10.452261306532662;1000.0;0.3135678391959799;0.7158738441608229;649.8337850751237;90.6040127197612;0.0522809817697024;0.1193572258301247;0.0083207766783454;23.547416225967552;22.94913891723348;20.670811949790213;19.04517001083932;17.89499906179896;17.078259505883047;16.44164716940077;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
10.949748743718592;1000.0;0.3284924623115577;0.748574194333029;661.3415044955685;92.37755498745187;0.0533043639376835;0.1214708885808186;0.0084836530090517;22.7344426469976;22.310352928808385;20.148256775047404;18.604305667457083;17.5142676104778;16.74348202570871;16.14306098566297;0.0;41.95;36.96;31.96;28.49;26.01;24.19;22.77;0.0
