escalar 1 Ay3;escalar 2 Ay3;escalar 3 Ay3;escalar 4 Ay3;escalar 5 Ay3;escalar 6 Ay3;escalar 7 Ay3;particula;iteracao;fo
-0.0387473487289283;-0.0262360381943199;-0.0095631900658891;-0.0022255082937571;0.0117129647485064;0.0352118733326029;0.0469676434187199;0.0;0.0;0.965214446291364
-0.0420878137392734;-0.0314896308148619;-0.0100393900090073;0.0020476686312305;0.0188337708202324;0.0325407991466869;0.0473765399979218;1.0;0.0;0.96540917441538
-0.0483250610205381;-0.0284259048935905;-0.008082476302882;-0.0039234060931744;0.0112356821148619;0.0299220133515765;0.0491169982826298;2.0;0.0;0.9650399683737846
-0.0385807467948586;-0.0251713692355712;-0.0121269287644659;0.0021984656022893;0.017709369902245;0.0306810058595971;0.0488358607352939;3.0;0.0;0.9653269985184054
-0.0392234513585981;-0.022817241326993;-0.0192645316627725;-0.0042401164137928;0.0160132837838945;0.0361192597153192;0.0480306718083576;4.0;0.0;0.9652021666215702
-0.0492853796868219;-0.0345205723112518;-0.0091949852852037;0.0069595003885961;0.0182680513403239;0.0261441583006255;0.0463029548039593;5.0;0.0;0.9650693463648794
-0.0366421394740393;-0.0335275034182142;-0.0182147562057979;0.001675289612737;0.016178112773133;0.0262351297823768;0.0478069540707229;6.0;0.0;0.96501376277376
-0.045106305663484;-0.0345639463465589;-0.0148551706977413;0.0030347967433203;0.0189669291019502;0.0345628798761551;0.042686230761168;7.0;0.0;0.9674601093585528
-0.0488490696129978;-0.0235682077443198;-0.0185471560723153;-0.0017834519774918;0.0136121871439072;0.0343256919340974;0.0427799745344577;8.0;0.0;0.9650197385572936
-0.0404811246715748;-0.027028743318286;-0.0124534063709341;0.0056983619768455;0.0138782960613498;0.0257151097105233;0.047333728927735;9.0;0.0;0.9649464938637606
-0.0482469219412634;-0.031124729156182;-0.0060493824877866;0.0055022127505001;0.0210334987992577;0.0344833238437709;0.0496920605272433;10.0;0.0;0.9656485118645473
-0.0399949371860736;-0.0262217274741088;-0.0185384066112345;0.0013274172483783;0.0105961823579774;0.0300065182518248;0.0400320152822698;11.0;0.0;0.9648248716534978
-0.0400042426697504;-0.0274429228770965;-0.0126764545810255;-0.0037214497777346;0.0182809981043712;0.0261786412740802;0.0462044078135136;12.0;0.0;0.9649978898345024
-0.0416128047303732;-0.0341251403158263;-0.0124708855517988;-0.0030598309456918;0.0160213915843251;0.0359903076159016;0.0464891100157014;13.0;0.0;0.9644085047435176
-0.049155567021498;-0.0299006393187086;-0.0160409178187633;-0.0047460597901047;0.0205214579338669;0.029718352923021;0.0475616396206607;14.0;0.0;0.9650758856604578
-0.0459827762879219;-0.0357118023445746;-0.0155845773624896;0.0037598374831822;0.019966760793208;0.0344734275169266;0.0420961131579101;0.0;1.0;0.9676734717741192
-0.045522351805784;-0.0349876867935405;-0.0155189415568382;0.003170855031135;0.0189852826343813;0.0348415882205991;0.0420397539399138;1.0;1.0;0.967662585342697
-0.0446626567212528;-0.0354099676485547;-0.0157886677706859;0.0039938628995835;0.0200325458287491;0.0352025418871724;0.0417998623074801;2.0;1.0;0.9675226710929204
-0.0460057394409498;-0.03585854827739;-0.0152312109721896;0.0031500703149076;0.0191402615695823;0.0350979280889827;0.0418386121848896;3.0;1.0;0.9674685761113004
-0.0459171538952216;-0.0361830234986052;-0.0142474176655748;0.0040375158595477;0.0193740372775405;0.0343483602271728;0.0419495933487574;4.0;1.0;0.9675073237201516
-0.0445302936450817;-0.0345699246961846;-0.0156353279301329;0.0024938452177618;0.019063257137262;0.0357232529109488;0.0421877288192884;5.0;1.0;0.9675113293986928
-0.0462729424408294;-0.0347068018164023;-0.0143921107905264;0.0032221809442094;0.0193513184938453;0.0357107140885857;0.0419804289130207;6.0;1.0;0.967519104396798
-0.045106305663484;-0.0345639463465589;-0.0148551706977413;0.0030347967433203;0.0189669291019502;0.0345628798761551;0.042686230761168;7.0;1.0;0.9674601093585528
-0.044590431332251;-0.0360795159561733;-0.0143462953019852;0.0036989077773293;0.0197049863141583;0.0345955720717187;0.0426733098270654;8.0;1.0;0.967525440038636
-0.0457438056990775;-0.0356025418538765;-0.0151862117632704;0.0026676710169653;0.0196683078696524;0.0357823897300138;0.0420456546946768;9.0;1.0;0.967696832899199
-0.0446734268221215;-0.0350379820837796;-0.0160688940757225;0.0026947067457283;0.0186820887339961;0.0345738452791449;0.0417206000684346;10.0;1.0;0.9669901059952362
-0.0458108181121818;-0.0357137748262267;-0.0143475012616568;0.0032701290450618;0.0201206896480913;0.0351908943695919;0.0430520677879201;11.0;1.0;0.9652732970689076
-0.0458095355145526;-0.0355454544698486;-0.01515546848163;0.0039660267654935;0.019061472653032;0.0357185000381762;0.0422013117925876;12.0;1.0;0.9677026857342508
-0.0455878234620523;-0.0346244280575881;-0.0151838025649184;0.0038748342197932;0.0193729197595294;0.0343661340111852;0.0421620705900604;13.0;1.0;0.9674600423935186
-0.0445481860430029;-0.035206701387159;-0.0146917362649745;0.0041072512755176;0.0187526645818349;0.035230612903351;0.042014241205106;14.0;1.0;0.9677033663005016
-0.0481097053869552;-0.0391072631726163;-0.0174882971342011;0.0062005024722488;0.0225806130993509;0.0345275558903095;0.0401988348169019;0.0;2.0;0.9652575930743692
-0.0464017844034989;-0.0364211937040343;-0.0172448244821441;0.0040157022981397;0.0189398702472751;0.0358932291233374;0.0399897731905955;1.0;2.0;0.9651386979902058
