velocidade;rpm;J;reynolds;mach;eficiencia;tracao;torque;Ct;Cq;Cp;Beta 0;Beta 1;Beta 2;Beta 3;Beta 4;Beta 5;Beta 6;Beta 7;Aerofolio secao 0;Aerofolio secao 1;Aerofolio secao 2;Aerofolio secao 3;Aerofolio secao 4;Aerofolio secao 5;Aerofolio secao 6;dT Seção 0;dT Seção 1;dT Seção 2;dT Seção 3;dT Seção 4;dT Seção 5;dT Seção 6;dT Seção 7;dQ Seção 0;dQ Seção 1;dQ Seção 2;dQ Seção 3;dQ Seção 4;dQ Seção 5;dQ Seção 6;dQ Seção 7;dr Seção 0;dr Seção 1;dr Seção 2;dr Seção 3;dr Seção 4;dr Seção 5;dr Seção 6;dr Seção 7;c Seção 0;c Seção 1;c Seção 2;c Seção 3;c Seção 4;c Seção 5;c Seção 6;c Seção 7;Particula;Iteracao
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9580076113731896;236.6223314005965;47.17241897611186;0.0196699086277885;0.0016081620563392;0.0101043802039542;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio714.dat;coordenadas_aerofolios/aerofolio979.dat;coordenadas_aerofolios/aerofolio678.dat;coordenadas_aerofolios/aerofolio816.dat;coordenadas_aerofolios/aerofolio402.dat;coordenadas_aerofolios/aerofolio742.dat;coordenadas_aerofolios/aerofolio506.dat;17.15056702901577;0.0;117.27198913960612;280.65152798821174;472.8004958732409;679.0575289809593;0.0;0;3.472258034738565;0.0;23.38795560396205;55.80413148980163;94.21018249781228;135.5493289781714;0.0;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;0;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9564552710180272;357.0438070084619;71.29485947661138;0.0296802884934997;0.002430523816902;0.015271431535109;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio978.dat;coordenadas_aerofolios/aerofolio644.dat;coordenadas_aerofolios/aerofolio954.dat;coordenadas_aerofolios/aerofolio346.dat;coordenadas_aerofolios/aerofolio267.dat;coordenadas_aerofolios/aerofolio415.dat;coordenadas_aerofolios/aerofolio382.dat;17.096510753174265;33.66221449391283;110.52059715409624;267.42231123074487;471.94098097534186;687.9465484075441;779.6858000455917;0;3.460225730948895;6.742079909968244;22.100070615259828;53.29852422949449;94.05862608248026;137.22795332113424;156.05744008360307;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;1;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9560106050381824;354.8133643321996;70.8824364636998;0.0294948765614055;0.0024164638417105;0.0151830901055666;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio992.dat;coordenadas_aerofolios/aerofolio76.dat;coordenadas_aerofolios/aerofolio35.dat;coordenadas_aerofolios/aerofolio835.dat;coordenadas_aerofolios/aerofolio704.dat;coordenadas_aerofolios/aerofolio398.dat;coordenadas_aerofolios/aerofolio335.dat;19.551447769325605;38.82692688537373;122.56704169912786;279.39587725824094;445.6385432420923;684.3505917118067;767.0764355067425;0;3.9259522523658976;7.720488009680057;24.39462845052222;55.56781770322127;89.0730270205304;136.55070283831608;153.7203574172409;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;2;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9564574439612256;356.5692100397108;71.19992972880394;0.029640836261941;0.0024272875525392;0.0152510974864141;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio10.dat;coordenadas_aerofolios/aerofolio256.dat;coordenadas_aerofolios/aerofolio842.dat;coordenadas_aerofolios/aerofolio75.dat;coordenadas_aerofolios/aerofolio79.dat;coordenadas_aerofolios/aerofolio507.dat;coordenadas_aerofolios/aerofolio847.dat;20.032302281181146;34.30495248413212;124.8278364124958;277.6683343823784;437.3954676618283;676.5617848116801;797.0308706251938;0;4.017219260801952;6.863895081712694;24.82487253526881;55.24487699347683;87.49241613154443;135.0726769526911;159.31083074185847;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;3;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9554450120948708;351.28797874776853;70.21969979482172;0.029201818793303;0.0023938703858868;0.0150411312358967;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio296.dat;coordenadas_aerofolios/aerofolio30.dat;coordenadas_aerofolios/aerofolio839.dat;coordenadas_aerofolios/aerofolio696.dat;coordenadas_aerofolios/aerofolio639.dat;coordenadas_aerofolios/aerofolio172.dat;coordenadas_aerofolios/aerofolio631.dat;16.877377467068545;38.00726413936004;105.22793421877262;250.69721711739035;477.5433249394725;664.0684683214581;779.3512136938913;0;3.4206521102443155;7.5648826986076;21.090782353320265;50.114760061270886;95.12229554510016;132.7533158624044;156.06466736585045;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;4;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9569741605073888;361.7005176510243;72.18555444281097;0.0300673908954711;0.0024608886334517;0.0154622193043091;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio921.dat;coordenadas_aerofolios/aerofolio599.dat;coordenadas_aerofolios/aerofolio562.dat;coordenadas_aerofolios/aerofolio935.dat;coordenadas_aerofolios/aerofolio731.dat;coordenadas_aerofolios/aerofolio29.dat;coordenadas_aerofolios/aerofolio29.dat;18.583116319754826;35.99956696234527;118.045452272392;264.64484592311084;479.2506574851972;714.0146280866712;770.3104955838645;0;3.741868726056907;7.185665122397612;23.534140281029064;52.785556619852095;95.46097088034676;142.1494298639074;154.31430787148895;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;5;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9566197171695988;357.50775179227134;71.37522867677555;0.0297188552316932;0.0024332636954371;0.0152886466996643;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio49.dat;coordenadas_aerofolios/aerofolio107.dat;coordenadas_aerofolios/aerofolio215.dat;coordenadas_aerofolios/aerofolio748.dat;coordenadas_aerofolios/aerofolio632.dat;coordenadas_aerofolios/aerofolio199.dat;coordenadas_aerofolios/aerofolio789.dat;18.91305432995341;37.12194748515573;113.35344247538036;278.03899937461455;467.0386863140177;663.7794044810194;795.7407163562722;0;3.804597525077436;7.396269043627351;22.63956831834471;55.305175278414;93.1286561882;132.65047544997898;159.05257466536443;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;6;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9559314649914628;353.08232948346114;70.54246055959163;0.0293509793345265;0.0024048736718417;0.0151102669205391;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio803.dat;coordenadas_aerofolios/aerofolio420.dat;coordenadas_aerofolios/aerofolio915.dat;coordenadas_aerofolios/aerofolio179.dat;coordenadas_aerofolios/aerofolio295.dat;coordenadas_aerofolios/aerofolio562.dat;coordenadas_aerofolios/aerofolio9.dat;17.15056702901577;37.38664174361505;114.81097671346753;254.40373375781004;467.1106209448483;644.899068009417;807.8059304942271;0;3.472258034738565;7.44729129427915;22.919472752797063;50.8296482712127;93.1612929480846;129.10175674058908;161.3212965446035;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;7;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9557826136201768;351.7118755468664;70.27960049457455;0.0292370564281302;0.0023959124696846;0.0150539620268106;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio560.dat;coordenadas_aerofolios/aerofolio121.dat;coordenadas_aerofolios/aerofolio744.dat;coordenadas_aerofolios/aerofolio182.dat;coordenadas_aerofolios/aerofolio594.dat;coordenadas_aerofolios/aerofolio273.dat;coordenadas_aerofolios/aerofolio213.dat;16.626208920628272;38.493807217794654;115.86927033811244;256.49375664868774;437.1601683525473;691.1452711281718;778.7186662552795;0;3.372967170649987;7.657805581759621;23.12159194672292;51.22881324032278;87.4537766928617;137.81981104600192;155.86087637417776;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;8;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.957603517266016;238.06120177137305;47.47929555875166;0.0197895188461177;0.0016186238322432;0.0101701134806015;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio397.dat;coordenadas_aerofolios/aerofolio92.dat;coordenadas_aerofolios/aerofolio299.dat;coordenadas_aerofolios/aerofolio246.dat;coordenadas_aerofolios/aerofolio883.dat;coordenadas_aerofolios/aerofolio211.dat;coordenadas_aerofolios/aerofolio441.dat;19.00614551439507;37.79647311662189;116.4985260068202;281.0205559850037;439.9603655637732;696.2365892335017;0.0;0;3.822376631672039;7.525093949815378;23.241770926895047;55.86761496962446;87.98857496622018;138.79218117798175;0.0;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;9;0
