velocidade;rpm;J;reynolds;mach;eficiencia;tracao;torque;Ct;Cq;Cp;Beta 0;Beta 1;Beta 2;Beta 3;Beta 4;Beta 5;Beta 6;Beta 7;Aerofolio secao 0;Aerofolio secao 1;Aerofolio secao 2;Aerofolio secao 3;Aerofolio secao 4;Aerofolio secao 5;Aerofolio secao 6;dT Seção 0;dT Seção 1;dT Seção 2;dT Seção 3;dT Seção 4;dT Seção 5;dT Seção 6;dT Seção 7;dQ Seção 0;dQ Seção 1;dQ Seção 2;dQ Seção 3;dQ Seção 4;dQ Seção 5;dQ Seção 6;dQ Seção 7;dr Seção 0;dr Seção 1;dr Seção 2;dr Seção 3;dr Seção 4;dr Seção 5;dr Seção 6;dr Seção 7;c Seção 0;c Seção 1;c Seção 2;c Seção 3;c Seção 4;c Seção 5;c Seção 6;c Seção 7;Particula;Iteracao
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.956262146959764;356.0629464385386;71.11335922818989;0.0295987516509168;0.0024243362645343;0.0152325539969846;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio895.dat;coordenadas_aerofolios/aerofolio679.dat;coordenadas_aerofolios/aerofolio529.dat;coordenadas_aerofolios/aerofolio354.dat;coordenadas_aerofolios/aerofolio992.dat;coordenadas_aerofolios/aerofolio369.dat;coordenadas_aerofolios/aerofolio545.dat;16.779279160213093;35.93529880461921;112.57997934259444;263.8088367667598;486.8792651852375;651.6874921498571;794.6620537820597;0;3.400777836654799;7.171982695170243;22.4933836412777;52.62589063220808;96.89902937219796;130.39825024989565;158.85842005002155;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;0;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.955615502265887;347.48450006004225;69.44702219824497;0.0288856437399491;0.0023675289173005;0.0148756229075058;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio581.dat;coordenadas_aerofolios/aerofolio882.dat;coordenadas_aerofolios/aerofolio449.dat;coordenadas_aerofolios/aerofolio995.dat;coordenadas_aerofolios/aerofolio720.dat;coordenadas_aerofolios/aerofolio543.dat;coordenadas_aerofolios/aerofolio821.dat;17.281616253093635;0.0;123.88036847313694;263.7614971808204;445.0940604510206;659.2828947923664;785.1829311184935;0;3.496147715843455;0.0;24.648527188079704;52.60635592332324;88.96903846737737;131.8107586718615;157.07175049911248;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;1;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9570180185655331;360.64122618879554;71.97085035038602;0.0299793342604574;0.0024535691238257;0.0154162294689711;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio428.dat;coordenadas_aerofolios/aerofolio350.dat;coordenadas_aerofolios/aerofolio745.dat;coordenadas_aerofolios/aerofolio446.dat;coordenadas_aerofolios/aerofolio758.dat;coordenadas_aerofolios/aerofolio260.dat;coordenadas_aerofolios/aerofolio243.dat;16.88168494292429;39.7454169312895;132.00587672974464;277.77774651325484;453.0299020911728;695.2445468417149;779.0436143794038;0;3.419197023422889;7.895437315784309;26.19731315310415;55.25527965727523;90.478373157796;138.57413506616894;155.91108213302704;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;2;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9561821310852084;354.2766986252912;70.76252857120352;0.0294502646883162;0.0024123760436465;0.0151574057128317;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio809.dat;coordenadas_aerofolios/aerofolio822.dat;coordenadas_aerofolios/aerofolio313.dat;coordenadas_aerofolios/aerofolio101.dat;coordenadas_aerofolios/aerofolio302.dat;coordenadas_aerofolios/aerofolio246.dat;coordenadas_aerofolios/aerofolio219.dat;18.32478691297289;34.49293503716368;106.8868809817295;261.041193431791;471.5423169876104;689.4544203689866;769.6760204997374;0;3.692816162878379;6.899797104748704;21.407617846501324;52.09381185325152;94.01398396499933;137.46830236705458;154.12200348803552;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;3;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9561306961220968;354.0062334999655;70.71231015848709;0.0294277815005685;0.0024106640401577;0.0151466488776654;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio106.dat;coordenadas_aerofolios/aerofolio138.dat;coordenadas_aerofolios/aerofolio538.dat;coordenadas_aerofolios/aerofolio897.dat;coordenadas_aerofolios/aerofolio345.dat;coordenadas_aerofolios/aerofolio172.dat;coordenadas_aerofolios/aerofolio276.dat;18.877250028245086;34.49293503716368;120.3896649527492;265.1689886412745;476.06544307799226;640.0094945296042;795.1004583355996;0;3.797759407156435;6.899797104748704;23.983387823905773;52.882162667243925;94.84004090082765;128.15839033677412;158.8947301065691;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;4;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9565411634014452;357.34775018678;71.34914379565471;0.029705554640233;0.0024323744318171;0.0152830592915529;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio864.dat;coordenadas_aerofolios/aerofolio5.dat;coordenadas_aerofolios/aerofolio67.dat;coordenadas_aerofolios/aerofolio751.dat;coordenadas_aerofolios/aerofolio77.dat;coordenadas_aerofolios/aerofolio90.dat;coordenadas_aerofolios/aerofolio363.dat;17.498595801271485;38.12889990896869;117.55681963146512;273.28256030242346;450.9278046410744;677.5600824793918;797.1385441180637;0;3.536448879958748;7.5881134193956035;23.443890120820896;54.40026016857425;90.0832015368742;135.26333776288322;159.33139486421476;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;5;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.956034544827358;354.74806934459576;70.86761761148847;0.0294894487286544;0.0024159586499828;0.0151799158923255;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio320.dat;coordenadas_aerofolios/aerofolio25.dat;coordenadas_aerofolios/aerofolio244.dat;coordenadas_aerofolios/aerofolio169.dat;coordenadas_aerofolios/aerofolio439.dat;coordenadas_aerofolios/aerofolio203.dat;coordenadas_aerofolios/aerofolio394.dat;19.092614272977027;37.89807191745311;120.8782975936761;277.4658800750674;472.0829006953242;658.979235308103;769.8894398399617;0;3.838606228829763;7.54308977820802;24.07363798411394;55.19221971702304;94.12982668634652;131.77181729655098;154.17461834096733;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;6;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9570427641546768;361.30981386070937;72.10241174249225;0.0300349125245137;0.0024580542031041;0.0154444100531951;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio399.dat;coordenadas_aerofolios/aerofolio135.dat;coordenadas_aerofolios/aerofolio350.dat;coordenadas_aerofolios/aerofolio767.dat;coordenadas_aerofolios/aerofolio698.dat;coordenadas_aerofolios/aerofolio443.dat;coordenadas_aerofolios/aerofolio970.dat;19.315139378050635;39.66731947539716;131.8604744535675;249.54606753196336;481.8194544704997;698.4349291944427;779.4743083508827;0;3.880820674087291;7.880991171488092;26.17261516389897;49.89840452314603;95.94527554682826;139.20250652653087;155.99333862245194;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;7;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9573102362662574;362.3461923463773;72.28902661362088;0.0301210644527626;0.0024644161188467;0.0154843831487141;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio313.dat;coordenadas_aerofolios/aerofolio423.dat;coordenadas_aerofolios/aerofolio128.dat;coordenadas_aerofolios/aerofolio315.dat;coordenadas_aerofolios/aerofolio929.dat;coordenadas_aerofolios/aerofolio680.dat;coordenadas_aerofolios/aerofolio113.dat;18.58257788527285;35.368579644595414;111.0056453587259;273.5993377269435;466.95895351647135;684.5606767052241;814.7989245942141;0;3.7420506119095847;7.065624792701375;22.194243898537074;54.45376452416936;93.1197277647038;136.54319283098675;162.6924243224162;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;8;0
20;1000.0;0.4921259842519686;3339340.413638904;0.3751903135853492;0.9574008804130228;363.8802312093712;72.58819832972293;0.0302485858244267;0.0024746152269825;0.0155484660350994;41.93998590703808;37.071022156848606;27.6717334224092;22.395624119478267;19.070626862451967;16.79746747152713;15.149961615623909;5.0;coordenadas_aerofolios/aerofolio407.dat;coordenadas_aerofolios/aerofolio127.dat;coordenadas_aerofolios/aerofolio693.dat;coordenadas_aerofolios/aerofolio848.dat;coordenadas_aerofolios/aerofolio63.dat;coordenadas_aerofolios/aerofolio171.dat;coordenadas_aerofolios/aerofolio257.dat;18.04443649068398;35.28011726669821;120.47786216813472;285.40960405584696;461.90304188509134;689.6332289827792;803.7143377651778;0;3.639842614799927;7.04872972303737;23.99716045127713;56.70586140475566;92.15411977113988;137.5977188678286;160.53985989506705;0;0.254;0.3047999999999999;0.4572;0.6095999999999999;0.762;0.9144;1.0668;1.2191999999999998;0.122428;0.139192;0.174244;0.185166;0.1793239999999999;0.16129;0.1285239999999999;0.0;9;0
